Tipo de Generación,Consumo(MW),Mes,Año
Hidroeléctrica,3070.8209600000005,Jul,2025
Termoeléctrica,3909.5687900000007,Jul,2025
Eólica,564.00586,Jul,2025
Solar,0,Jul,2025
Aporte Bess,-0.1789,Jul,2025
Total,7544.2167100000015,Jul,2025
Hidroeléctrica,4846.485579999997,Jan,2025
Termoeléctrica,2297.89986,Jan,2025
Eólica,601.4033000000001,Jan,2025
Solar,0,Jan,2025
Aporte Bess,0.08352,Jan,2025
Total,7745.8722599999965,Jan,2025
Hidroeléctrica,4833.021270000002,Mar,2025
Termoeléctrica,2624.9114799999998,Mar,2025
Eólica,486.2046399999999,Mar,2025
Solar,0,Mar,2025
Aporte Bess,-2.3584200000000006,Mar,2025
Total,7941.778970000002,Mar,2025
Hidroeléctrica,4434.86772,May,2025
Termoeléctrica,2458.58839,May,2025
Eólica,694.92437,May,2025
Solar,0,May,2025
Aporte Bess,-0.37383,May,2025
Total,7588.006649999999,May,2025
Hidroeléctrica,3424.3614399999997,Aug,2025
Termoeléctrica,3460.3161700000005,Aug,2025
Eólica,719.9168299999998,Aug,2025
Solar,0,Aug,2025
Aporte Bess,0.04145,Aug,2025
Total,7604.6358900000005,Aug,2025
Hidroeléctrica,4654.712850000002,Feb,2025
Termoeléctrica,2737.96702,Feb,2025
Eólica,506.7782499999999,Feb,2025
Solar,0,Feb,2025
Aporte Bess,0.049689999999999984,Feb,2025
Total,7899.507810000002,Feb,2025
Hidroeléctrica,4662.175229999999,Apr,2025
Termoeléctrica,2403.74908,Apr,2025
Eólica,761.54531,Apr,2025
Solar,0,Apr,2025
Aporte Bess,0.2688800000014453,Apr,2025
Total,7827.7384999999995,Apr,2025
Hidroeléctrica,4130.23138,Jun,2025
Termoeléctrica,3079.7302200000004,Jun,2025
Eólica,369.3586,Jun,2025
Solar,0,Jun,2025
Aporte Bess,-3.8133899999999996,Jun,2025
Total,7575.50681,Jun,2025
